# Pin Out For LIFCL-40,,,,,,,,,,,,
# Revision 0.9,,,,,,,,,,,,
"# Revised Sept, 24, 2019",,,,,,,,,,,,
# Revision 1.0,,,,,,,,,,,,
"# Revised Sept, 24, 2019",,,,,,,,,,,,
"# Revision 1.1, May 20, 2020",,,,,,,,,,,,
"#  - Added CSFBGA121, CABGA256 packages",,,,,,,,,,,,
"# Revision 1.2,Oct 26, 2020",,,,,,,,,,,,
#  - Removed references to PMU,,,,,,,,,,,,
"# Revision 1.21, December 29, 2020",,,,,,,,,,,,
# - Removed reference of PMU_EXT_CLK,,,,,,,,,,,,
,,,,,,,,,,,,
PADN,Pin/Ball Funcion,CUST_NAME,BANK,Dual Function,LVDS,HIGHSPEED,DQS,CABGA400,CSBGA289,QFN72,CSFBGA121,CABGA256
596,VSS,-,-,-,-,-,,-,-,-,-,-
598,NC,-,-,-,-,-,,-,-,-,-,-
599,NC,-,-,-,-,-,,-,-,-,-,-
600,NC,-,-,-,-,-,,-,-,-,-,-
601,NC,-,-,-,-,-,,-,-,-,-,-
603,VCC,-,-,-,-,-,,-,-,-,-,-
605,NC,-,-,-,-,-,,-,-,-,-,-
606,NC,-,-,-,-,-,,-,-,-,-,-
607,NC,-,-,-,-,-,,-,-,-,-,-
608,NC,-,-,-,-,-,,-,-,-,-,-
609,NC,-,-,-,-,-,,-,-,-,-,-
610,NC,-,-,-,-,-,,-,-,-,-,-
611,NC,-,-,-,-,-,,-,-,-,-,-
612,NC,-,-,-,-,-,,-,-,-,-,-
614,VSSIO0,VSS,-,-,-,-,,-,-,-,-,-
615,VCC,-,-,-,-,-,,-,-,-,-,-
616,VCCIO0,-,0,-,-,-,,-,-,-,-,-
618,VSS,-,-,-,-,-,,-,-,-,-,-
619,NC,-,-,-,-,-,,-,-,-,-,-
620,NC,-,-,-,-,-,,-,-,-,-,-
622,NC,-,-,-,-,-,,-,-,-,-,-
623,NC,-,-,-,-,-,,-,-,-,-,-
624,VSS,-,-,-,-,-,,-,-,-,-,-
626,NC,-,-,-,-,-,,-,-,-,-,-
627,NC,-,-,-,-,-,,-,-,-,-,-
628,NC,-,-,-,-,-,,-,-,-,-,-
629,NC,-,-,-,-,-,,-,-,-,-,-
630,VCCAUX,-,-,-,-,-,,-,-,-,-,-
632,VCC,-,-,-,-,-,,-,-,-,-,-
633,VSS,-,-,-,-,-,,-,-,-,-,-
634,VCCSD0,-,80,-,-,-,,-,-,-,-,-
635,NC,-,-,-,-,-,,-,-,-,-,-
636,VSSSD0,VSSSD,-,-,-,-,,-,-,-,-,-
637,NC,-,-,-,-,-,,-,-,-,-,-
639,VCCSD0,-,80,-,-,-,,-,-,-,-,-
640,NC,-,-,-,-,-,,-,-,-,-,-
642,NC,-,-,-,-,-,,-,-,-,-,-
643,VCCPLLSD0,-,80,-,-,-,,-,-,-,-,-
644,VSSSD0,VSSSD,-,-,-,-,,-,-,-,-,-
645,NC,-,-,-,-,-,,-,-,-,-,-
647,VCCSD0,-,80,-,-,-,,-,-,-,-,-
648,NC,-,-,-,-,-,,-,-,-,-,-
649,NC,-,-,-,-,-,,-,-,-,-,-
650,VCCPLLSD0,-,80,-,-,-,,-,-,-,-,-
651,VSSSD0,VSSSD,-,-,-,-,,-,-,-,-,-
652,VCCSD0,-,80,-,-,-,,-,-,-,-,-
653,NC,-,-,-,-,-,,-,-,-,-,-
654,NC,-,-,-,-,-,,-,-,-,-,-
657,VSSSD0,VSSSD,-,-,-,-,,-,-,-,-,-
658,NC,-,-,-,-,-,,-,-,-,-,-
660,NC,-,-,-,-,-,,-,-,-,-,-
661,VCCSD0,-,80,-,-,-,,-,-,-,-,-
662,NC,-,-,-,-,-,,-,-,-,-,-
663,VSSSD0,VSSSD,-,-,-,-,,-,-,-,-,-
664,NC,-,-,-,-,-,,-,-,-,-,-
665,NC,-,-,-,-,-,,-,-,-,-,-
666,VSSSD0,VSSSD,-,-,-,-,,-,-,-,-,-
667,NC,-,-,-,-,-,,-,-,-,-,-
668,SD0_REFCLKP,SD_REFCLKP,80,-,True_OF_SD0_REFCLKN,-,,-,-,-,-,-
669,SD0_REFCLKN,SD_REFCLKN,80,-,Comp_OF_SD0_REFCLKP,-,,-,-,-,-,-
670,VSS,-,-,-,-,-,,-,-,-,-,-
671,VCCAUXSD0,VCCAUXSD,80,-,-,-,,-,-,-,-,-
672,NC,-,-,-,-,-,,-,-,-,-,-
673,VCC,-,-,-,-,-,,-,-,-,-,-
674,VCC,-,-,-,-,-,,-,-,62,-,-
675,VSS,-,-,-,-,-,,-,-,-,-,-
676,NC,-,-,-,-,-,,-,-,-,-,-
677,NC,-,-,-,-,-,,-,-,-,-,-
678,NC,-,-,-,-,-,,-,-,-,-,-
679,NC,-,-,-,-,-,,-,-,-,-,-
680,VCCPLLDPHY1,-,61,-,-,-,,-,-,-,-,-
681,NC,-,-,-,-,-,,-,-,-,-,-
682,NC,-,-,-,-,-,,-,-,-,-,-
683,VSSPLLDPHY1,-,-,-,-,-,,-,-,-,-,-
685,NC,-,-,-,-,-,,-,-,-,-,-
686,VSSADPHY1,-,-,-,-,-,,-,-,-,-,-
688,NC,-,-,-,-,-,,-,-,-,-,-
689,VCCDPHY1,-,61,-,-,-,,-,-,-,-,-
691,NC,-,-,-,-,-,,-,-,-,-,-
692,VSSADPHY1,-,-,-,-,-,,-,-,-,-,-
694,NC,-,-,-,-,-,,-,-,-,-,-
695,VCCADPHY1,-,61,-,-,-,,-,-,-,-,-
697,NC,-,-,-,-,-,,-,-,-,-,-
698,VSSADPHY1,-,-,-,-,-,,-,-,-,-,-
700,NC,-,-,-,-,-,,-,-,-,-,-
701,VCCDPHY1,-,61,-,-,-,,-,-,-,-,-
703,NC,-,-,-,-,-,,-,-,-,-,-
704,VSSADPHY1,-,-,-,-,-,,-,-,-,-,-
706,NC,-,-,-,-,-,,-,-,-,-,-
707,VCCADPHY1,-,61,-,-,-,,-,-,-,-,-
708,NC,-,-,-,-,-,,-,-,-,-,-
710,VSS,-,-,-,-,-,,-,-,-,-,-
711,NC,-,-,-,-,-,,-,-,-,-,-
712,VSSADPHY1,-,-,-,-,-,,-,-,-,-,-
713,NC,-,-,-,-,-,,-,-,-,-,-
715,NC,-,-,-,-,-,,-,-,-,-,-
716,VCCDPHY1,-,61,-,-,-,,-,-,-,-,-
717,NC,-,-,-,-,-,,-,-,-,-,-
718,VCC,-,-,-,-,-,,-,-,-,-,-
719,VCC,-,-,-,-,-,,-,-,62,-,-
720,VSS,-,-,-,-,-,,-,-,-,-,-
721,NC,-,-,-,-,-,,-,-,-,-,-
722,NC,-,-,-,-,-,,-,-,-,-,-
723,NC,-,-,-,-,-,,-,-,-,-,-
724,VCCPLLDPHY0,-,60,-,-,-,,-,-,63,-,-
725,NC,-,-,-,-,-,,-,-,-,-,-
726,NC,-,-,-,-,-,,-,-,-,-,-
727,VSSPLLDPHY0,-,-,-,-,-,,-,-,-,-,-
729,NC,-,-,-,-,-,,-,-,-,-,-
730,VSSADPHY0,-,-,-,-,-,,-,-,-,-,-
732,NC,-,-,-,-,-,,-,-,-,-,-
733,VCCDPHY0,-,60,-,-,-,,-,-,-,-,-
735,NC,-,-,-,-,-,,-,-,-,-,-
736,VSSADPHY0,-,-,-,-,-,,-,-,-,-,-
738,NC,-,-,-,-,-,,-,-,-,-,-
739,VCCADPHY0,-,60,-,-,-,,-,-,-,-,-
741,NC,-,-,-,-,-,,-,-,-,-,-
742,VSSADPHY0,-,-,-,-,-,,-,-,-,-,-
743,NC,-,-,-,-,-,,-,-,-,-,-
745,VSS,-,-,-,-,-,,-,-,-,-,-
746,NC,-,-,-,-,-,,-,-,-,-,-
747,VCCDPHY0,-,60,-,-,-,,-,-,70,-,-
748,NC,-,-,-,-,-,,-,-,-,-,-
750,NC,-,-,-,-,-,,-,-,-,-,-
751,NC,-,-,-,-,-,,-,-,-,-,-
752,VSSADPHY0,-,-,-,-,-,,-,-,-,-,-
753,VCC,-,-,-,-,-,,-,-,-,-,-
755,NC,-,-,-,-,-,,-,-,-,-,-
756,NC,-,-,-,-,-,,-,-,-,-,-
757,VCCADPHY0,-,60,-,-,-,,-,-,71,-,-
759,NC,-,-,-,-,-,,-,-,-,-,-
760,VSSADPHY0,-,-,-,-,-,,-,-,-,-,-
762,NC,-,-,-,-,-,,-,-,-,-,-
763,VCCDPHY0,-,60,-,-,-,,-,-,72,-,-
764,VCC,-,-,-,-,-,,-,-,-,-,-
765,VSS,-,-,-,-,-,,-,-,-,-,-
0,NC,-,-,-,-,-,,-,-,-,-,-
0,VSS,-,-,-,-,-,,J10,K3,-,-,-
0,VSS,-,-,-,-,-,,K10,R3,-,-,-
0,VSS,-,-,-,-,-,,L10,A17,-,-,-
0,VSS,-,-,-,-,-,,M10,-,-,-,-
0,VSS,-,-,-,-,-,,G9,U1,-,-,-
0,VSS,-,-,-,-,-,,M9,-,-,-,-
0,VSS,-,-,-,-,-,,U9,-,-,-,-
0,VSS,-,-,-,-,-,,M8,-,-,-,-
0,VSS,-,-,-,-,-,,U8,-,-,-,-
0,VSS,-,-,-,-,-,,E6,-,-,-,-
0,VSS,-,-,-,-,-,,H4,-,-,-,-
0,VSS,-,-,-,-,-,,L4,-,-,-,-
0,VSS,-,-,-,-,-,,P4,-,-,-,-
0,VSS,-,-,-,-,-,,W3,-,-,-,-
0,VSS,-,-,-,-,-,,Y1,-,-,-,-
0,VCC,-,-,-,-,-,,F9,J8,-,-,-
0,VCC,-,-,-,-,-,,J9,-,-,-,-
0,VCC,-,-,-,-,-,,L9,-,-,-,-
0,VCCAUX,-,-,-,-,-,,K9,-,-,-,-
0,VCCIO0,-,0,-,-,-,,-,-,-,-,-
0,VCCIO1,-,1,-,-,-,,G17,F14,-,-,-
0,VCCIO1,-,1,-,-,-,,-,-,-,-,-
0,VCCIO2,-,2,-,-,-,,N17,K13,-,-,-
0,VCCIO2,-,2,-,-,-,,-,-,-,-,-
0,VCCIO3,-,3,-,-,-,,U13,R13,-,-,-
0,VCCIO3,-,3,-,-,-,,-,-,-,-,-
0,VCCIO4,-,4,-,-,-,,V8,T5,-,-,-
0,VCCIO4,-,4,-,-,-,,-,-,-,-,-
0,VCCIO5,-,5,-,-,-,,-,-,-,-,-
0,VCCIO5,-,5,-,-,-,,-,-,-,-,-
0,VCCIO6,-,6,-,-,-,,P3,L3,-,-,-
0,VCCIO6,-,6,-,-,-,,-,-,-,-,-
0,VCCIO7,-,7,-,-,-,,H3,G4,-,-,-
0,VCCIO7,-,7,-,-,-,,-,-,-,-,-
0,VSSADPHY,-,-,-,-,-,,-,G1,-,-,-
0,VSSADPHY,-,-,-,-,-,,-,-,-,-,-
0,VSSADPHY,-,-,-,-,-,,-,-,-,-,-
0,VSSADPHY,-,-,-,-,-,,-,-,-,-,-
0,VSSADPHY,-,-,-,-,-,,-,-,-,-,-
0,VSSADPHY,-,-,-,-,-,,-,-,-,-,-
0,VSSSD,-,-,-,-,-,,A17,A12,-,-,-
0,VSSSD,-,-,-,-,-,,C17,A9,-,-,-
0,VSSSD,-,-,-,-,-,,B16,C8,-,-,-
0,VSSSD,-,-,-,-,-,,C15,-,-,-,-
0,VSSSD,-,-,-,-,-,,A14,-,-,-,-
0,VSSSD,-,-,-,-,-,,B12,-,-,-,-
0,VSSSD,-,-,-,-,-,,A11,-,-,-,-
0,VSSSD,-,-,-,-,-,,-,-,-,-,-
0,VCCSD0,-,80,-,-,-,,B13,B9,-,-,-
0,VCCPLLSD0,-,80,-,-,-,,-,-,-,-,-
0,VSSADC,-,70,-,-,-,,R14,-,-,-,-
0,NC,-,-,-,-,-,,B20,-,-,-,-
0,NC,-,-,-,-,-,,C20,-,-,-,-
0,NC,-,-,-,-,-,,G20,-,-,-,-
0,NC,-,-,-,-,-,,H20,-,-,-,-
0,NC,-,-,-,-,-,,J20,-,-,-,-
0,NC,-,-,-,-,-,,K20,-,-,-,-
0,NC,-,-,-,-,-,,R20,-,-,-,-
0,NC,-,-,-,-,-,,A19,-,-,-,-
0,NC,-,-,-,-,-,,H19,-,-,-,-
0,NC,-,-,-,-,-,,J19,-,-,-,-
0,NC,-,-,-,-,-,,K19,-,-,-,-
0,NC,-,-,-,-,-,,R19,-,-,-,-
0,NC,-,-,-,-,-,,A18,-,-,-,-
0,NC,-,-,-,-,-,,B18,-,-,-,-
0,NC,-,-,-,-,-,,C18,-,-,-,-
0,NC,-,-,-,-,-,,D18,-,-,-,-
0,NC,-,-,-,-,-,,H18,-,-,-,-
0,NC,-,-,-,-,-,,K18,-,-,-,-
0,NC,-,-,-,-,-,,L18,-,-,-,-
0,NC,-,-,-,-,-,,B17,-,-,-,-
0,NC,-,-,-,-,-,,H17,-,-,-,-
0,NC,-,-,-,-,-,,K17,-,-,-,-
0,NC,-,-,-,-,-,,L17,-,-,-,-
0,NC,-,-,-,-,-,,C16,-,-,-,-
0,NC,-,-,-,-,-,,H16,-,-,-,-
0,NC,-,-,-,-,-,,J16,-,-,-,-
0,NC,-,-,-,-,-,,K16,-,-,-,-
0,NC,-,-,-,-,-,,P16,-,-,-,-
0,NC,-,-,-,-,-,,H15,-,-,-,-
0,NC,-,-,-,-,-,,J15,-,-,-,-
0,NC,-,-,-,-,-,,K15,-,-,-,-
0,NC,-,-,-,-,-,,P15,-,-,-,-
0,NC,-,-,-,-,-,,H14,-,-,-,-
0,NC,-,-,-,-,-,,J14,-,-,-,-
0,NC,-,-,-,-,-,,K14,-,-,-,-
0,NC,-,-,-,-,-,,H13,-,-,-,-
0,NC,-,-,-,-,-,,J13,-,-,-,-
0,NC,-,-,-,-,-,,K13,-,-,-,-
0,NC,-,-,-,-,-,,-,-,-,-,-
0,NC,-,-,-,-,-,,-,-,-,-,-
0,NC,-,-,-,-,-,,-,-,-,-,-
0,NC,-,-,-,-,-,,-,-,-,-,-
0,NC,-,-,-,-,-,,F8,-,-,-,-
0,NC,-,-,-,-,-,,G8,-,-,-,-
0,NC,-,-,-,-,-,,H8,-,-,-,-
0,NC,-,-,-,-,-,,J8,-,-,-,-
0,NC,-,-,-,-,-,,-,-,-,-,-
0,NC,-,-,-,-,-,,F7,-,-,-,-
0,NC,-,-,-,-,-,,G7,-,-,-,-
0,NC,-,-,-,-,-,,H7,-,-,-,-
0,NC,-,-,-,-,-,,J7,-,-,-,-
0,NC,-,-,-,-,-,,F6,-,-,-,-
0,NC,-,-,-,-,-,,G6,-,-,-,-
0,NC,-,-,-,-,-,,H6,-,-,-,-
0,NC,-,-,-,-,-,,J6,-,-,-,-
0,NC,-,-,-,-,-,,F5,-,-,-,-
0,NC,-,-,-,-,-,,G5,-,-,-,-
0,NC,-,-,-,-,-,,H5,-,-,-,-
0,NC,-,-,-,-,-,,J5,-,-,-,-
0,NC,-,-,-,-,-,,T5,-,-,-,-
0,NC,-,-,-,-,-,,U5,-,-,-,-
0,NC,-,-,-,-,-,,V5,-,-,-,-
0,NC,-,-,-,-,-,,F4,-,-,-,-
0,NC,-,-,-,-,-,,G4,-,-,-,-
0,NC,-,-,-,-,-,,J4,-,-,-,-
0,NC,-,-,-,-,-,,T4,-,-,-,-
0,NC,-,-,-,-,-,,U4,-,-,-,-
0,NC,-,-,-,-,-,,V4,-,-,-,-
0,NC,-,-,-,-,-,,W4,-,-,-,-
0,NC,-,-,-,-,-,,Y4,-,-,-,-
0,NC,-,-,-,-,-,,F3,-,-,-,-
0,NC,-,-,-,-,-,,G3,-,-,-,-
0,NC,-,-,-,-,-,,J3,-,-,-,-
0,NC,-,-,-,-,-,,N3,-,-,-,-
0,NC,-,-,-,-,-,,T3,-,-,-,-
0,NC,-,-,-,-,-,,U3,-,-,-,-
0,NC,-,-,-,-,-,,F2,-,-,-,-
0,NC,-,-,-,-,-,,G2,-,-,-,-
0,NC,-,-,-,-,-,,H2,-,-,-,-
0,NC,-,-,-,-,-,,N2,-,-,-,-
0,NC,-,-,-,-,-,,T2,-,-,-,-
0,NC,-,-,-,-,-,,U2,-,-,-,-
0,NC,-,-,-,-,-,,V2,-,-,-,-
0,NC,-,-,-,-,-,,W2,-,-,-,-
0,NC,-,-,-,-,-,,G1,-,-,-,-
0,NC,-,-,-,-,-,,H1,-,-,-,-
0,NC,-,-,-,-,-,,M1,-,-,-,-
0,NC,-,-,-,-,-,,N1,-,-,-,-
0,NC,-,-,-,-,-,,-,-,-,-,-
0,NC,-,-,-,-,-,,-,-,-,-,-
0,NC,-,-,-,-,-,,-,-,-,-,-
0,NC,-,-,-,-,-,,-,-,-,-,-
0,NC,-,-,-,-,-,,-,-,-,-,-
0,NC,-,-,-,-,-,,-,-,-,-,-
0,NC,-,-,-,-,-,,-,-,-,-,-
0,NC,-,-,-,-,-,,-,-,-,-,-
0,NC,-,-,-,-,-,,-,-,-,-,-
0,NC,-,-,-,-,-,,-,-,-,-,-
0,NC,-,-,-,-,-,,-,-,-,-,-
0,VSSADPHY,-,-,-,-,-,,E1,C3,-,-,A1
0,VSSSD,-,-,-,-,-,,C19,B11,-,-,A10
659,SD0_TXDN,-,80,-,Comp_OF_SD0_TXDP,-,,A12,A10,-,-,A11
656,SD0_TXDP,-,80,-,True_OF_SD0_TXDN,-,,A13,A11,-,-,A12
0,VSSSD,-,-,-,-,-,,B19,B13,-,-,A13
646,SD0_RXDN,-,80,-,Comp_OF_SD0_RXDP,-,,A15,A14,-,-,A14
641,SD0_RXDP,-,80,-,True_OF_SD0_RXDN,-,,A16,A13,-,-,A15
0,VSSSD,-,-,-,-,-,,A20,A15,-,-,A16
0,VCCPLLDPHY0,-,60,-,-,-,,B5,C4,-,C8,A2
709,DPHY1_DP2,-,61,-,True_OF_DPHY1_DN2,-,,A6,A2,-,A9,A3
702,DPHY1_DP0,-,61,-,True_OF_DPHY1_DN0,-,,A7,A3,-,A8,A4
696,DPHY1_CKP,-,61,-,True_OF_DPHY1_CKN,-,,A8,A4,-,A7,A5
690,DPHY1_DP1,-,61,-,True_OF_DPHY1_DN1,-,,A9,A5,-,A6,A6
684,DPHY1_DP3,-,61,-,True_OF_DPHY1_DN3,-,,A10,A6,-,A5,A7
0,VSSADPHY,-,-,-,-,-,,C10,A7,-,B4,A8
0,SD_REFCLKP,-,-,-,-,-,,C12,A8,-,-,A9
728,DPHY0_DP3,-,60,-,True_OF_DPHY0_DN3,-,,A4,B1,64,A11,B1
0,VSSSD,-,-,-,-,-,,D19,B10,-,-,B10
0,VCCAUXSD,-,80,-,-,-,,B11,C9,-,-,B11
655,SD0_REFRET,-,80,-,-,-,,B14,B12,-,-,B12
0,VCCPLLSD0,-,80,-,-,-,,C13,C11,-,-,B13
0,VSSSD,-,-,-,-,-,,D20,B14,-,-,B14
0,VCCSD0,-,80,-,-,-,,B15,C10,-,-,B15
617,PT76B,-,0,DONE,Comp_OF_PT76A,-,,D12,D14,58,D7,B16
731,DPHY0_DN3,-,60,-,Comp_OF_DPHY0_DP3,-,,B4,C2,65,A10,B2
714,DPHY1_DN2,-,61,-,Comp_OF_DPHY1_DP2,-,,B6,B2,-,B9,B3
705,DPHY1_DN0,-,61,-,Comp_OF_DPHY1_DP0,-,,B7,B3,-,B8,B4
699,DPHY1_CKN,-,61,-,Comp_OF_DPHY1_CKP,-,,B8,B4,-,B7,B5
693,DPHY1_DN1,-,61,-,Comp_OF_DPHY1_DP1,-,,B9,B5,-,B6,B6
687,DPHY1_DN3,-,61,-,Comp_OF_DPHY1_DP3,-,,B10,B6,-,B5,B7
0,VSSADPHY,-,-,-,-,-,,C8,E3,-,C5,B8
0,SD_REFCLKN,-,-,-,-,-,,C11,B8,-,-,B9
734,DPHY0_DP1,-,60,-,True_OF_DPHY0_DN1,-,,A3,C1,66,B11,C1
0,VSS,-,-,-,-,-,,W16,P14,-,J3,C10
638,SD0_REXT,-,80,-,-,-,,C14,C12,-,-,C11
625,PT74B,-,0,PROGRAMN,Comp_OF_PT74A,-,,E11,D13,60,D8,C12
590,PT82B,-,0,MCSNO/MSDO,Comp_OF_PT82A,-,,E16,B15,53,E3,C13
604,PT78B,-,0,MOSI/MD0,Comp_OF_PT78A,-,,D13,C13,57,D6,C14
613,PT78A,-,0,MCSN/PCLKT0_1,True_OF_PT78B,-,,E13,C14,56,E6,C15
621,PT76A,-,0,MCLK/PCLKT0_0,True_OF_PT76B,-,,E12,D16,59,E7,C16
737,DPHY0_DN1,-,60,-,Comp_OF_DPHY0_DP1,-,,B3,D2,67,B10,C2
0,VSSADPHY,-,-,-,-,-,,A5,G3,-,C9,C3
0,VCCDPHY0,-,60,-,-,-,,C4,D3,-,D9,C4
0,VCCPLLDPHY1,-,61,-,-,-,,C9,D8,-,C6,C5
0,VSSADPHY,-,-,-,-,-,,C6,C7,-,C7,C6
0,VCCDPHY1,-,61,-,-,-,,C5,C6,-,C4,C7
0,VCCADPHY1,-,61,-,-,-,,C7,B7,-,A4,C8
0,VSS,-,-,-,-,-,,T15,F13,-,-,C9
740,DPHY0_CKP,-,60,-,True_OF_DPHY0_CKN,-,,A2,D1,68,C11,D1
571,JTAG_EN,-,1,-,-,-,,E19,E17,50,A1,D10
631,PT74A,-,0,INITN,True_OF_PT74B,-,,D11,D12,61,E8,D11
594,PT82A,-,0,MD3,True_OF_PT82B,-,,D16,B16,52,E4,D12
0,VCCIO0,-,0,-,-,-,,E15,C15,-,D4,D13
0,VSS,-,-,-,-,-,,T19,F15,-,F3,D14
597,PT80B,-,0,MD2,Comp_OF_PT80A,-,,D14,C17,55,D5,D15
602,PT80A,-,0,MISO/MD1,True_OF_PT80B,-,,D15,C16,51,E5,D16
744,DPHY0_CKN,-,60,-,Comp_OF_DPHY0_CKP,-,,B1,E2,69,C10,D2
0,VSSADPHY,-,-,-,-,-,,C3,H2,-,F11,D3
12,PL3A,-,7,ULC_GPLL0T_IN,True_OF_PL3B,-,,D10,D7,-,-,D4
13,PL3B,-,7,ULC_GPLL0C_IN,Comp_OF_PL3A,-,,D9,D6,-,-,D5
17,PL4A,-,7,-,True_OF_PL4B,-,,D7,E7,-,-,D6
0,VCC,-,-,-,-,-,,L12,K9,-,-,D7
0,VSS,-,-,-,-,-,,V13,J9,-,-,D8
0,VCC,-,-,-,-,-,,J12,G9,-,F4,D9
749,DPHY0_DP0,-,60,-,True_OF_DPHY0_DN0,-,,B2,E1,4,D11,E1
562,PR4B,-,1,-,Comp_OF_PR4A,-,,G13,E15,-,-,E10
557,PR6B,-,1,TMS/SCSN,Comp_OF_PR6A,-,,F15,E13,48,B1,E11
556,PR6A,-,1,-,True_OF_PR6B,-,,F14,E14,-,-,E12
542,PR10A,-,1,-,True_OF_PR10B,-,,F18,-,-,-,E13
543,PR10B,-,1,TDO/SSO,Comp_OF_PR10A,-,,F19,E11,45,A2,E14
589,PT84A,-,0,-,True_OF_PT84B,-,,E18,A16,-,B3,E15
586,PT84B,-,0,-,Comp_OF_PT84A,-,,D17,B17,-,C3,E16
754,DPHY0_DN0,-,60,-,Comp_OF_DPHY0_DP0,-,,C1,F2,3,D10,E2
0,VCCADPHY0,-,60,-,-,-,,D2,F3,-,F10,E3
21,PL6A,-,7,-,True_OF_PL6B,-,,D6,D4,-,-,E4
22,PL6B,-,7,-,Comp_OF_PL6A,-,,D5,D5,-,-,E5
18,PL4B,-,7,-,Comp_OF_PL4A,-,,D8,E6,-,-,E6
0,VSS,-,-,-,-,-,,H11,H9,-,-,E7
0,VSS,-,-,-,-,-,,G12,D9,-,-,E8
561,PR4A,-,1,-,True_OF_PR4B,-,,F13,E16,-,-,E9
758,DPHY0_DP2,-,60,-,True_OF_DPHY0_DN2,-,,C2,F1,1,E11,F1
547,PR8A,-,1,-,True_OF_PR8B,-,,F16,-,-,-,F10
548,PR8B,-,1,TDI/SSI,Comp_OF_PR8A,-,,F17,E12,46,A3,F11
0,VSS,-,-,-,-,-,,G16,D15,-,H9,F12
0,VCCIO1,-,1,-,-,-,,J18,G14,-,D2,F13
526,PR13A,-,1,TCK/SCLK,True_OF_PR13B,-,,G18,F12,41,C1,F14
527,PR13B,-,1,-,Comp_OF_PR13A,-,,G19,F11,43,D1,F15
506,PR19A,-,1,PCLKT1_1,True_OF_PR19B,-,,L16,G13,-,F2,F16
761,DPHY0_DN2,-,60,-,Comp_OF_DPHY0_DP2,-,,D1,G2,2,E10,F2
0,VSSADPHY,-,-,-,-,-,,A1,C5,-,-,F3
64,PL19A,-,7,PCLKT7_1,True_OF_PL19B,-,,K2,G7,-,-,F4
0,VCCIO7,-,7,-,-,-,,E5,F4,-,-,F5
57,PL17A,-,7,PCLKT7_2,True_OF_PL17B,-,,J2,H3,-,-,F6
0,VCCAUXA,VCCAUX,-,-,-,-,,H12,E9,-,-,F7
0,VCCAUX,-,-,-,-,-,,K12,H10,-,G3,F8
572,PR3B,-,1,-,-,-,,E17,D17,-,-,F9
0,VSSADPHY,-,-,-,-,-,,-,A1,-,-,G1
533,PR11B,-,1,SCL/USER_SCL,Comp_OF_PR11A,-,,F20,F10,44,C2,G10
520,PR15A,-,1,-,True_OF_PR15B,-,,G14,F16,-,E2,G11
521,PR15B,-,1,-,Comp_OF_PR15A,-,,G15,F17,-,-,G12
514,PR17A,-,1,PCLKT1_2,True_OF_PR17B,-,,L13,G16,-,E1,G13
515,PR17B,-,1,-,Comp_OF_PR17A,-,,L14,G15,-,-,G14
500,PR20A,-,1,PCLKT1_0,True_OF_PR20B,-,,L20,G11,-,F1,G15
507,PR19B,-,1,-,Comp_OF_PR19A,-,,L15,G12,-,-,G16
0,VSS,-,-,-,-,-,,G10,K5,-,-,G2
70,PL20A,-,7,PCLKT7_0,True_OF_PL20B,-,,K3,H7,-,-,G3
65,PL19B,-,7,-,Comp_OF_PL19A,-,,K1,G6,-,-,G4
0,VSS,-,-,-,-,-,,L11,R6,-,-,G5
58,PL17B,-,7,-,Comp_OF_PL17A,-,,J1,H4,-,-,G6
0,VCCAUX,-,-,-,-,-,,H9,G8,-,-,G7
0,VSS,-,-,-,-,-,,M12,L9,-,-,G8
532,PR11A,-,1,SDA/USER_SDA,True_OF_PR11B,-,,E20,E10,42,B2,G9
84,PL27A,-,6,-,True_OF_PL27B,-,,L1,J7,-,-,H1
481,PR30B,-,2,-,Comp_OF_PR30A,-,,M18,H12,-,-,H10
480,PR30A,-,2,PCLKT2_0,True_OF_PR30B,-,,M17,H11,-,-,H11
475,PR32B,-,2,-,Comp_OF_PR32A,-,,M20,J10,-,-,H12
474,PR32A,-,2,PCLKT2_1,True_OF_PR32B,-,,M19,J11,-,-,H13
487,PR27B,-,2,-,Comp_OF_PR27A,-,,N16,H14,-,-,H14
486,PR27A,-,2,-,True_OF_PR27B,-,,N15,H13,-,-,H15
491,PR26A,-,2,-,True_OF_PR26B,-,,M16,H15,-,-,H16
85,PL27B,-,6,-,Comp_OF_PL27A,-,,L2,J6,-,-,H2
80,PL26B,-,6,-,Comp_OF_PL26A,-,,K8,H6,-,-,H3
79,PL26A,-,6,-,True_OF_PL26B,-,,K7,H5,-,-,H4
75,PL24B,-,6,-,Comp_OF_PL24A,-,,K6,J1,-,-,H5
74,PL24A,-,6,-,True_OF_PL24B,-,,K5,H1,-,-,H6
0,VCC,-,-,-,-,-,,N9,E8,-,-,H7
0,VSS,-,-,-,-,-,,F11,F9,-,-,H8
0,VSS,-,-,-,-,-,,E14,K12,-,-,H9
96,PL32A,-,6,PCLKT6_1,True_OF_PL32B,-,,L7,J4,-,-,J1
0,VCC,-,-,-,-,-,,F12,D11,-,E9,J10
461,PR36A,-,2,-,True_OF_PR36B,-,,P19,-,-,-,J11
462,PR36B,-,2,-,Comp_OF_PR36A,-,,P20,-,-,-,J12
0,VCCIO2,-,2,-,-,-,,U19,K14,-,-,J13
0,VSS,-,-,-,-,-,,N18,K15,-,F9,J14
