# Revision 1.0,,,,,,,,,,,,,,,
"# October 26, 2020",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
LIFCL-17,,,,,,,,,LIFCL-40,,,,,,
Pin Number,Pin Function,Bank,Dual Function,Differential,HIGHSPEED,DQS,,,Pin Number,Pin Function,Bank,Dual Function,Differential,HIGHSPEED,DQS
D13,VCCIO0,0,-,-,-,-,,,D13,VCCIO0,0,-,-,-,-
D14,VSS,-,-,-,-,-,,,D14,VSS,-,-,-,-,-
D15,PT63B,0,MD2,Comp_OF_PT63A,-,-,,,D15,PT80B,0,MD2,Comp_OF_PT80A,-,-
D16,PT63A,0,MISO/MD1,True_OF_PT63B,-,-,,,D16,PT80A,0,MISO/MD1,True_OF_PT80B,-,-
D2,DPHY0_CKN,60,-,Comp_OF_DPHY0_CKP,-,-,,,D2,DPHY0_CKN,60,-,Comp_OF_DPHY0_CKP,-,-
D3,VSSADPHY,-,-,-,-,-,,,D3,VSSADPHY,-,-,-,-,-
D4,NC,-,-,-,-,-,,,D4,PL3A,7,ULC_GPLL0T_IN,True_OF_PL3B,-,-
D5,NC,-,-,-,-,-,,,D5,PL3B,7,ULC_GPLL0C_IN,Comp_OF_PL3A,-,-
D6,NC,-,-,-,-,-,,,D6,PL4A,7,-,True_OF_PL4B,-,-
D7,VCC,-,-,-,-,-,,,D7,VCC,-,-,-,-,-
D8,VSS,-,-,-,-,-,,,D8,VSS,-,-,-,-,-
D9,VCC,-,-,-,-,-,,,D9,VCC,-,-,-,-,-
E1,DPHY0_DP0,60,-,True_OF_DPHY0_DN0,-,-,,,E1,DPHY0_DP0,60,-,True_OF_DPHY0_DN0,-,-
E10,NC,-,-,-,-,-,,,E10,PR4B,1,-,Comp_OF_PR4A,-,-
E11,PR3B,1,TMS/SCSN,-,-,-,,,E11,PR6B,1,TMS/SCSN,Comp_OF_PR6A,-,-
E12,NC,-,-,-,-,-,,,E12,PR6A,1,-,True_OF_PR6B,-,-
E13,NC,-,-,-,-,-,,,E13,PR10A,1,-,True_OF_PR10B,-,-
E14,PR5B,1,TDO/SSO/SD1,Comp_OF_PR5A,-,-,,,E14,PR10B,1,TDO/SSO,Comp_OF_PR10A,-,-
E15,PT67A,0,-,True_OF_PT67B,-,-,,,E15,PT84A,0,-,True_OF_PT84B,-,-
E16,PT67B,0,-,Comp_OF_PT67A,-,-,,,E16,PT84B,0,-,Comp_OF_PT84A,-,-
E2,DPHY0_DN0,60,-,Comp_OF_DPHY0_DP0,-,-,,,E2,DPHY0_DN0,60,-,Comp_OF_DPHY0_DP0,-,-
E3,VCCADPHY0,60,-,-,-,-,,,E3,VCCADPHY0,60,-,-,-,-
E4,NC,-,-,-,-,-,,,E4,PL6A,7,-,True_OF_PL6B,-,-
E5,NC,-,-,-,-,-,,,E5,PL6B,7,-,Comp_OF_PL6A,-,-
E6,NC,-,-,-,-,-,,,E6,PL4B,7,-,Comp_OF_PL4A,-,-
E7,VSS,-,-,-,-,-,,,E7,VSS,-,-,-,-,-
E8,VSS,-,-,-,-,-,,,E8,VSS,-,-,-,-,-
E9,NC,-,-,-,-,-,,,E9,PR4A,1,-,True_OF_PR4B,-,-
F1,DPHY0_DP2,60,-,True_OF_DPHY0_DN2,-,-,,,F1,DPHY0_DP2,60,-,True_OF_DPHY0_DN2,-,-
F10,NC,-,-,-,-,-,,,F10,PR8A,1,-,True_OF_PR8B,-,-
F11,PR5A,1,TDI/SSI/SD0,True_OF_PR5B,-,-,,,F11,PR8B,1,TDI/SSI,Comp_OF_PR8A,-,-
F12,VSS,-,-,-,-,-,,,F12,VSS,-,-,-,-,-
F13,VCCIO1,1,-,-,-,-,,,F13,VCCIO1,1,-,-,-,-
F14,PR9A,1,TCK/SCLK,True_OF_PR9B,-,-,,,F14,PR13A,1,TCK/SCLK,True_OF_PR13B,-,-
F15,PR9B,1,EIO,Comp_OF_PR9A,-,-,,,F15,PR13B,1,,Comp_OF_PR13A,-,-
F16,PR13A,1,PCLKT1_1/EIO,True_OF_PR13B,-,-,,,F16,PR19A,1,PCLKT1_1,True_OF_PR19B,-,-
F2,DPHY0_DN2,60,-,Comp_OF_DPHY0_DP2,-,-,,,F2,DPHY0_DN2,60,-,Comp_OF_DPHY0_DP2,-,-
F3,VSSADPHY,-,-,-,-,-,,,F3,VSSADPHY,-,-,-,-,-
F4,NC,-,-,-,-,-,,,F4,PL19A,7,PCLKT7_1,True_OF_PL19B,-,-
F5,NC,-,-,-,-,-,,,F5,VCCIO7,7,-,-,-,-
F6,NC,-,-,-,-,-,,,F6,PL17A,7,PCLKT7_2,True_OF_PL17B,-,-
F7,VCCAUX,-,-,-,-,-,,,F7,VCCAUXA,-,-,-,-,-
F8,VCCAUX,-,-,-,-,-,,,F8,VCCAUX,-,-,-,-,-
F9,NC,-,-,-,-,-,,,F9,PR3B,1,-,-,-,-
G1,VSSADPHY,70,-,-,-,-,,,G1,VSSADPHY,-,-,-,-,-
G10,PR7B,1,SD2/SCL/USER_SCL,Comp_OF_PR7A,-,-,,,G10,PR11B,1,SCL/USER_SCL,Comp_OF_PR11A,-,-
G11,PR11A,1,EIO,True_OF_PR11B,-,-,,,G11,PR15A,1,-,True_OF_PR15B,-,-
G12,NC,-,-,-,-,-,,,G12,PR15B,1,-,Comp_OF_PR15A,-,-
G13,PR11B,1,PCLKT1_2/EIO,Comp_OF_PR11A,-,-,,,G13,PR17A,1,PCLKT1_2,True_OF_PR17B,-,-
G14,NC,-,-,-,-,-,,,G14,PR17B,1,-,Comp_OF_PR17A,-,-
G15,PR13B,1,PCLKT1_0/EIO,Comp_OF_PR13A,-,-,,,G15,PR20A,1,PCLKT1_0,True_OF_PR20B,-,-
G16,NC,-,-,-,-,-,,,G16,PR19B,1,-,Comp_OF_PR19A,-,-
G2,VSS,-,-,-,-,-,,,G2,VSS,-,-,-,-,-
G3,NC,-,-,-,-,-,,,G3,PL20A,7,PCLKT7_0,True_OF_PL20B,-,-
G4,NC,-,-,-,-,-,,,G4,PL19B,7,-,Comp_OF_PL19A,-,-
G5,NC,-,-,-,-,-,,,G5,VSS,-,-,-,-,-
G6,NC,-,-,-,-,-,,,G6,PL17B,7,-,Comp_OF_PL17A,-,-
G7,VCCAUX,-,-,-,-,-,,,G7,VCCAUX,-,-,-,-,-
G8,VSS,-,-,-,-,-,,,G8,VSS,-,-,-,-,-
G9,PR7A,1,SD3/SDA/USER_SDA,True_OF_PR7B,-,-,,,G9,PR11A,1,SDA/USER_SDA,True_OF_PR11B,-,-
H1,NC,-,-,-,-,-,,,H1,PL27A,6,-,True_OF_PL27B,-,-
H10,NC,-,-,-,-,-,,,H10,PR30B,2,-,Comp_OF_PR30A,-,-
H11,NC,-,-,-,-,-,,,H11,PR30A,2,PCLKT2_0,True_OF_PR30B,-,-
H12,NC,-,-,-,-,-,,,H12,PR32B,2,-,Comp_OF_PR32A,-,-
H13,NC,-,-,-,-,-,,,H13,PR32A,2,PCLKT2_1,True_OF_PR32B,-,-
H14,NC,-,-,-,-,-,,,H14,PR27B,2,-,Comp_OF_PR27A,-,-
H15,NC,-,-,-,-,-,,,H15,PR27A,2,-,True_OF_PR27B,-,-
H16,NC,-,-,-,-,-,,,H16,PR26A,2,-,True_OF_PR26B,-,-
H2,NC,-,-,-,-,-,,,H2,PL27B,6,-,Comp_OF_PL27A,-,-
H3,NC,-,-,-,-,-,,,H3,PL26B,6,-,Comp_OF_PL26A,-,-
H4,NC,-,-,-,-,-,,,H4,PL26A,6,-,True_OF_PL26B,-,-
H5,NC,-,-,-,-,-,,,H5,PL24B,6,-,Comp_OF_PL24A,-,-
H6,NC,-,-,-,-,-,,,H6,PL24A,6,-,True_OF_PL24B,-,-
H7,VCC,-,-,-,-,-,,,H7,VCC,-,-,-,-,-
